run_id,trial,patch_trigger_ns,validation_complete_ns,scheduled_ns,patch_active_ns,first_protected_request_ns,first_protected_response_ns,rollback_start_ns,rollback_complete_ns,activation_latency_ms,validation_rtt_ms,scheduling_rtt_ms,application_rtt_ms,rollback_latency_ms,protected_response,protected,measurement_scope,pre_activation_warmup_response,task_period_us,task_jitter_us,cpu_load_pct,bus_load_pct,runtime_telemetry_status
patch_activation_20260716_final_firmware,23,543133330535621,543133333291800,543133337175481,543133341121251,543133354209888,543133356764508,543133356810183,543133756120900,10.585630,2.756179,2.773778,2.829232,399.310717,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,24,543134925547923,543134928373384,543134932228221,543134936422552,543134949047310,543134951856428,543134951907621,543135355814318,10.874629,2.825461,2.750592,3.067387,403.906697,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,25,543136519376842,543136522156208,543136526091013,543136529972389,543136542873715,543136545754489,543136545800234,543136933912329,10.595547,2.779366,2.832305,2.734319,388.112095,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,26,543138086848083,543138089610547,543138093491225,543138097358773,543138110596101,543138113063141,543138113114753,543138498475276,10.510690,2.762464,2.776921,2.764420,385.360523,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,27,543139653237907,543139655990944,543139659803527,543139663784007,543139676687009,543139679548507,543139679600887,543140081657090,10.546100,2.753037,2.679634,2.827486,402.056203,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,28,543141240980988,543141243773763,543141247896718,543141251502225,543141264507473,543141267496499,543141267548600,543141648681684,10.521237,2.792775,3.000062,2.480519,381.133084,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,29,543142812161357,543142814642155,543142818591836,543142822427467,543142835320202,543142838194690,543142838243718,543143234375431,10.266110,2.480798,2.852070,2.728173,396.131713,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,30,543144390439102,543144393250664,543144397178904,543144401259884,543144413990868,543144416820030,543144416872550,543144802418423,10.820782,2.811562,2.823366,2.976525,385.545873,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,31,543145956232392,543145958892401,543145962958924,543145966626659,543145979609977,543145982794067,543145982848403,543146382629409,10.394267,2.660009,2.893904,2.588213,399.781006,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,32,543147539975548,543147542709867,543147546645369,543147550558803,543147563504826,543147566328470,543147566361854,543147952341711,10.583255,2.734319,2.853117,2.825950,385.979857,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,33,543149116794587,543149119290820,543149123386955,543149127087445,543149140060147,543149143061954,543149143116220,543149527598908,10.292858,2.496233,2.992099,2.549102,384.482688,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,34,543150690885236,543150693595529,543150697526353,543150701398510,543150714343695,543150717120966,543150717178724,543151096499022,10.513274,2.710293,2.824762,2.763791,379.320298,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,35,543152249839662,543152252549118,543152256408704,543152260311801,543152273206840,543152276227504,543152276277021,543152640520536,10.472139,2.709456,2.751988,2.776992,364.243515,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,36,543153806957421,543153809885826,543153813568087,543153817711016,543153830398490,543153833175201,543153833222064,543154201964203,10.753595,2.928405,2.577178,3.022550,368.742139,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,37,543155367268551,543155370084932,543155373969312,543155377882256,543155390789098,543155393783502,543155393833997,543155780937925,10.613705,2.816381,2.740185,2.821200,387.103928,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260716_final_firmware,38,543156941286469,543156944108856,543156947903910,543156951808543,543156964975471,543156967575836,543156967625352,543157335405926,10.522074,2.822387,2.679005,2.780064,367.780574,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
