scenario_id,fleet_size,hotpatch_delivery_success,hotpatch_delivery_delay_h,ota_rollout_duration_days,attack_attempt_level,attack_attempt_rate_per_vehicle_day,rollback_failure_rate,effective_hotpatch_success,ota_only_exposure_vehicle_days,hotpatch_first_exposure_vehicle_days,exposure_reduction_vehicle_days,exposure_reduction_fraction,ota_only_expected_attack_attempts,hotpatch_first_expected_attack_attempts,ota_only_expected_successful_attacks,hotpatch_first_expected_successful_attacks,attack_success_probability,model
FS0181,100,0.85,6,7,low,0.0100,0.00,0.850000,350.000000,73.370536,276.629464,0.790370,3.500000,0.733705,2.709000,0.567888,0.774000,uniform_ota_closed_form_expectation
FS0182,100,0.85,6,7,low,0.0100,0.01,0.841500,350.000000,76.136830,273.863170,0.782466,3.500000,0.761368,2.709000,0.589299,0.774000,uniform_ota_closed_form_expectation
FS0183,100,0.85,6,7,low,0.0100,0.05,0.807500,350.000000,87.202009,262.797991,0.750851,3.500000,0.872020,2.709000,0.674944,0.774000,uniform_ota_closed_form_expectation
FS0184,100,0.85,6,7,medium,0.0500,0.00,0.850000,350.000000,73.370536,276.629464,0.790370,17.500000,3.668527,13.545000,2.839440,0.774000,uniform_ota_closed_form_expectation
FS0185,100,0.85,6,7,medium,0.0500,0.01,0.841500,350.000000,76.136830,273.863170,0.782466,17.500000,3.806842,13.545000,2.946495,0.774000,uniform_ota_closed_form_expectation
FS0186,100,0.85,6,7,medium,0.0500,0.05,0.807500,350.000000,87.202009,262.797991,0.750851,17.500000,4.360100,13.545000,3.374718,0.774000,uniform_ota_closed_form_expectation
FS0187,100,0.85,6,7,high,0.2000,0.00,0.850000,350.000000,73.370536,276.629464,0.790370,70.000000,14.674107,54.180000,11.357759,0.774000,uniform_ota_closed_form_expectation
FS0188,100,0.85,6,7,high,0.2000,0.01,0.841500,350.000000,76.136830,273.863170,0.782466,70.000000,15.227366,54.180000,11.785981,0.774000,uniform_ota_closed_form_expectation
FS0189,100,0.85,6,7,high,0.2000,0.05,0.807500,350.000000,87.202009,262.797991,0.750851,70.000000,17.440402,54.180000,13.498871,0.774000,uniform_ota_closed_form_expectation
FS0190,100,0.85,6,14,low,0.0100,0.00,0.850000,700.000000,126.060268,573.939732,0.819914,7.000000,1.260603,5.418000,0.975706,0.774000,uniform_ota_closed_form_expectation
FS0191,100,0.85,6,14,low,0.0100,0.01,0.841500,700.000000,131.799665,568.200335,0.811715,7.000000,1.317997,5.418000,1.020129,0.774000,uniform_ota_closed_form_expectation
FS0192,100,0.85,6,14,low,0.0100,0.05,0.807500,700.000000,154.757254,545.242746,0.778918,7.000000,1.547573,5.418000,1.197821,0.774000,uniform_ota_closed_form_expectation
FS0193,100,0.85,6,14,medium,0.0500,0.00,0.850000,700.000000,126.060268,573.939732,0.819914,35.000000,6.303013,27.090000,4.878532,0.774000,uniform_ota_closed_form_expectation
FS0194,100,0.85,6,14,medium,0.0500,0.01,0.841500,700.000000,131.799665,568.200335,0.811715,35.000000,6.589983,27.090000,5.100647,0.774000,uniform_ota_closed_form_expectation
FS0195,100,0.85,6,14,medium,0.0500,0.05,0.807500,700.000000,154.757254,545.242746,0.778918,35.000000,7.737863,27.090000,5.989106,0.774000,uniform_ota_closed_form_expectation
FS0196,100,0.85,6,14,high,0.2000,0.00,0.850000,700.000000,126.060268,573.939732,0.819914,140.000000,25.212054,108.360000,19.514129,0.774000,uniform_ota_closed_form_expectation
