trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
37,session_reset,2.870433,2.931195,0.060762
37,write_target,3.055584,3.063685,0.008101
38,enter_extended_session,3.076955,3.226137,0.149182
38,read_target_after,3.023665,3.089387,0.065722
38,read_target_before,2.963253,3.095533,0.132280
38,request_security_seed,3.132758,2.990421,-0.142337
38,send_security_key,2.845080,3.085336,0.240256
38,session_reset,2.886217,2.897601,0.011384
38,write_target,3.133247,3.084987,-0.048260
39,enter_extended_session,3.020104,3.121654,0.101550
39,read_target_after,3.003900,3.084917,0.081017
39,read_target_before,2.787880,3.040149,0.252269
39,request_security_seed,3.120886,3.049717,-0.071169
39,send_security_key,3.258684,3.025482,-0.233202
39,session_reset,3.017101,2.888522,-0.128579
39,write_target,3.096371,3.058098,-0.038273
40,enter_extended_session,3.063895,3.026180,-0.037715
40,read_target_after,3.139394,3.021641,-0.117753
40,read_target_before,3.068435,3.085477,0.017042
40,request_security_seed,3.190518,3.140791,-0.049727
40,send_security_key,2.792140,2.924211,0.132071
40,session_reset,2.893201,2.887684,-0.005517
40,write_target,3.063127,3.059285,-0.003842
41,enter_extended_session,3.080587,3.134156,0.053569
41,read_target_after,3.033793,3.043711,0.009918
41,read_target_before,3.081775,3.063686,-0.018089
41,request_security_seed,3.313091,3.063965,-0.249126
41,send_security_key,2.811766,2.992167,0.180401
41,session_reset,2.844381,2.900465,0.056084
41,write_target,3.135273,3.062777,-0.072496
42,enter_extended_session,3.130664,3.042244,-0.088420
42,read_target_after,3.039869,3.043571,0.003702
42,read_target_before,3.063964,3.051603,-0.012361
42,request_security_seed,3.049926,3.034143,-0.015783
42,send_security_key,3.067526,3.075070,0.007544
42,session_reset,2.926446,2.898300,-0.028146
42,write_target,3.003970,3.076047,0.072077
43,enter_extended_session,3.100702,3.061381,-0.039321
43,read_target_after,2.810228,3.037844,0.227616
43,read_target_before,3.075628,2.851436,-0.224192
43,request_security_seed,3.036796,3.072206,0.035410
43,send_security_key,3.099375,3.036447,-0.062928
43,session_reset,2.989793,2.922954,-0.066839
43,write_target,3.003412,3.117464,0.114052
44,enter_extended_session,3.068295,3.087362,0.019067
44,read_target_after,3.105102,3.068085,-0.037017
44,read_target_before,3.093158,3.062149,-0.031009
44,request_security_seed,2.883214,2.979177,0.095963
44,send_security_key,3.056911,3.079121,0.022210
44,session_reset,2.988186,2.932313,-0.055873
44,write_target,3.039869,3.078352,0.038483
45,enter_extended_session,3.000549,3.055514,0.054965
45,read_target_after,3.091622,3.109501,0.017879
45,read_target_before,3.159020,3.041057,-0.117963
45,request_security_seed,3.076885,3.040428,-0.036457
45,send_security_key,3.088270,3.064454,-0.023816
45,session_reset,2.977152,2.894458,-0.082694
45,write_target,3.049298,3.132829,0.083531
46,enter_extended_session,3.072345,3.037076,-0.035269
46,read_target_after,3.017590,3.014028,-0.003562
46,read_target_before,3.092390,2.837537,-0.254853
46,request_security_seed,3.096860,3.078702,-0.018158
46,send_security_key,3.021640,2.970656,-0.050984
46,session_reset,3.024853,2.802127,-0.222726
46,write_target,3.081425,3.174175,0.092750
47,enter_extended_session,3.159019,3.072416,-0.086603
47,read_target_after,3.049508,3.026320,-0.023188
47,read_target_before,2.988046,3.063756,0.075710
47,request_security_seed,3.280544,3.056352,-0.224192
47,send_security_key,2.930636,3.097000,0.166364
47,session_reset,2.848921,3.040358,0.191437
47,write_target,3.025203,3.096371,0.071168
48,enter_extended_session,3.063197,3.115019,0.051822
48,read_target_after,3.090853,3.053000,-0.037853
48,read_target_before,3.035539,3.317281,0.281742
48,request_security_seed,3.123330,3.075558,-0.047772
48,send_security_key,2.993355,3.070739,0.077384
48,session_reset,2.900255,3.007253,0.106998
48,write_target,3.017310,2.723695,-0.293615
49,enter_extended_session,3.046225,3.120816,0.074591
49,read_target_after,3.096651,3.054955,-0.041696
49,read_target_before,3.036517,3.004110,-0.032407
49,request_security_seed,3.066340,3.064943,-0.001397
49,send_security_key,3.071787,3.147147,0.075360
49,session_reset,2.660348,2.905703,0.245355
49,write_target,3.058657,2.963811,-0.094846
50,enter_extended_session,2.890407,3.099165,0.208758
50,read_target_after,2.912128,3.037495,0.125367
50,read_target_before,3.009348,3.051882,0.042534
50,request_security_seed,3.099444,3.040358,-0.059086
50,send_security_key,2.976103,3.065222,0.089119
50,session_reset,2.823150,2.920579,0.097429
50,write_target,3.097070,3.103356,0.006286
51,enter_extended_session,3.033164,3.090086,0.056922
51,read_target_after,2.971703,2.843754,-0.127949
51,read_target_before,3.068854,3.070670,0.001816
51,request_security_seed,3.118791,3.101540,-0.017251
51,send_security_key,3.034002,2.994472,-0.039530
51,session_reset,2.923652,2.931544,0.007892
51,write_target,3.098397,3.267485,0.169088
52,enter_extended_session,3.048879,3.060473,0.011594
52,read_target_after,2.966186,3.042174,0.075988
52,read_target_before,3.051812,3.218176,0.166364
52,request_security_seed,2.796959,3.034212,0.237253
52,send_security_key,3.149940,3.028904,-0.121036
52,session_reset,2.862610,2.994891,0.132281
52,write_target,3.077864,2.891315,-0.186549
53,enter_extended_session,3.000478,3.069762,0.069284
53,read_target_after,3.197083,2.969539,-0.227544
53,read_target_before,3.008929,3.056002,0.047073
53,request_security_seed,3.067317,3.091134,0.023817
53,send_security_key,3.108594,3.015565,-0.093029
53,session_reset,2.975545,2.920510,-0.055035
53,write_target,3.033025,3.064035,0.031010
54,enter_extended_session,3.056422,3.091762,0.035340
54,read_target_after,3.145052,2.986370,-0.158682
54,read_target_before,3.077933,3.025622,-0.052311
54,request_security_seed,3.092809,3.135553,0.042744
54,send_security_key,3.007672,3.053000,0.045328
54,session_reset,2.728165,2.742623,0.014458
54,write_target,3.032745,3.205744,0.172999
55,enter_extended_session,3.166632,3.056421,-0.110211
55,read_target_after,2.206935,2.754635,0.547700
55,read_target_before,3.014028,3.056352,0.042324
55,request_security_seed,3.013050,3.029463,0.016413
55,send_security_key,3.078422,3.091832,0.013410
55,session_reset,2.860236,2.898021,0.037785
55,write_target,2.984485,3.305478,0.320993
56,enter_extended_session,3.076816,3.097629,0.020813
56,read_target_after,3.107406,3.039660,-0.067746
56,read_target_before,3.078632,2.945722,-0.132910
56,request_security_seed,3.105031,3.116067,0.011036
56,send_security_key,3.051463,3.085546,0.034083
56,session_reset,2.895576,2.900465,0.004889
56,write_target,2.995590,3.069203,0.073613
57,enter_extended_session,3.001735,3.055933,0.054198
57,read_target_after,3.004390,2.902351,-0.102039
57,read_target_before,3.034561,3.051463,0.016902
57,request_security_seed,3.071647,3.046225,-0.025422
57,send_security_key,3.060333,3.105731,0.045398
57,session_reset,2.957874,2.921138,-0.036736
57,write_target,3.055095,3.089457,0.034362
58,enter_extended_session,3.020663,3.092670,0.072007
58,read_target_after,3.045457,3.074651,0.029194
58,read_target_before,3.009208,3.115019,0.105811
58,request_security_seed,3.026250,3.104543,0.078293
58,send_security_key,3.052581,3.027997,-0.024584
58,session_reset,3.003831,2.954452,-0.049379
58,write_target,3.098327,3.020873,-0.077454
59,enter_extended_session,3.018777,3.103635,0.084858
59,read_target_after,3.040149,3.066549,0.026400
59,read_target_before,3.092320,3.020105,-0.072215
59,request_security_seed,3.072416,3.033165,-0.039251
59,send_security_key,3.042872,3.047272,0.004400
59,session_reset,2.890407,2.895716,0.005309
59,write_target,3.070809,3.053209,-0.017600
60,enter_extended_session,3.107965,3.109432,0.001467
60,read_target_after,3.066549,3.068854,0.002305
60,read_target_before,3.025831,3.050765,0.024934
60,request_security_seed,3.240944,3.231026,-0.009918
60,send_security_key,2.820356,2.785295,-0.035061
60,session_reset,2.914643,2.910452,-0.004191
60,write_target,2.842496,3.117603,0.275107
61,enter_extended_session,3.104682,2.910871,-0.193811
61,read_target_after,3.158950,3.037355,-0.121595
61,read_target_before,3.080797,3.025970,-0.054827
61,request_security_seed,3.082473,3.012422,-0.070051
61,send_security_key,2.824337,3.122771,0.298434
61,session_reset,2.870851,3.007463,0.136612
61,write_target,3.071647,3.084149,0.012502
62,enter_extended_session,3.079330,3.145401,0.066071
62,read_target_after,3.047901,3.057889,0.009988
62,read_target_before,2.913036,2.851436,-0.061600
62,request_security_seed,3.105032,3.282989,0.177957
62,send_security_key,3.151826,2.800661,-0.351165
62,session_reset,2.866801,2.859049,-0.007752
62,write_target,3.054187,3.049228,-0.004959
63,enter_extended_session,3.094206,3.081216,-0.012990
63,read_target_after,3.010186,3.083381,0.073195
63,read_target_before,3.105101,3.051114,-0.053987
63,request_security_seed,3.104124,3.038123,-0.066001
63,send_security_key,2.928541,3.075279,0.146738
63,session_reset,2.908427,2.865963,-0.042464
63,write_target,3.056980,3.091831,0.034851
64,enter_extended_session,3.049787,3.060054,0.010267
64,read_target_after,3.031767,2.998802,-0.032965
64,read_target_before,3.036238,3.096721,0.060483
64,request_security_seed,3.098955,3.108454,0.009499
64,send_security_key,3.018288,2.953545,-0.064743
64,session_reset,2.956409,2.793956,-0.162453
64,write_target,3.035539,3.129267,0.093728
65,enter_extended_session,3.032955,3.013749,-0.019206
65,read_target_after,2.980155,2.759454,-0.220701
65,read_target_before,3.063964,3.089736,0.025772
65,request_security_seed,3.047552,3.152384,0.104832
65,send_security_key,3.121444,3.011164,-0.110280
65,session_reset,2.918833,2.983926,0.065093
65,write_target,3.092669,3.097000,0.004331
66,enter_extended_session,3.019895,3.044618,0.024723
66,read_target_after,3.047342,3.176061,0.128719
66,read_target_before,3.046365,3.032675,-0.013690
66,request_security_seed,2.964440,3.068434,0.103994
66,send_security_key,3.038821,3.044968,0.006147
66,session_reset,3.062987,2.995310,-0.067677
66,write_target,3.075698,3.108873,0.033175
67,enter_extended_session,3.091412,3.053139,-0.038273
67,read_target_after,3.054536,3.031139,-0.023397
67,read_target_before,3.075558,3.068505,-0.007053
67,request_security_seed,3.050835,2.985881,-0.064954
67,send_security_key,3.078771,3.042593,-0.036178
67,session_reset,2.871899,2.727815,-0.144084
67,write_target,3.001665,3.069692,0.068027
