run_id,trial,patch_trigger_ns,validation_complete_ns,scheduled_ns,patch_active_ns,first_protected_request_ns,first_protected_response_ns,rollback_start_ns,rollback_complete_ns,activation_latency_ms,validation_rtt_ms,scheduling_rtt_ms,application_rtt_ms,rollback_latency_ms,protected_response,protected,measurement_scope,pre_activation_warmup_response,task_period_us,task_jitter_us,cpu_load_pct,bus_load_pct,runtime_telemetry_status
patch_activation_20260710,56,2583858650703,2583861427039,2583865264756,2583869159115,2583882147457,2583884896974,2583884946283,2584284696595,10.508412,2.776336,2.716622,2.789188,399.750312,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,57,2585429454179,2585432211239,2585436088556,2585440051499,2585453030273,2585455751365,2585455789429,2585841440716,10.597320,2.757060,2.780248,2.877397,385.651287,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,58,2586982153380,2586984862320,2586988758005,2586992634345,2587005590630,2587008440929,2587008486256,2587396046737,10.480965,2.708940,2.792260,2.766070,387.560481,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,59,2588544631247,2588547438245,2588551251587,2588555205172,2588568136733,2588570895540,2588570945267,2588978604930,10.573925,2.806998,2.714038,2.824528,407.659663,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,60,2590109312216,2590112068788,2590115919286,2590119848636,2590132731937,2590135557023,2590135598439,2590519171753,10.536420,2.756572,2.736876,2.818033,383.573314,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,61,2591670365506,2591673110554,2591677037878,2591680900529,2591693910034,2591696684695,2591696743920,2592082844312,10.535023,2.745048,2.826902,2.756642,386.100392,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,62,2593234917877,2593237723617,2593241609385,2593245530843,2593258451929,2593261144735,2593261183358,2593654870772,10.612966,2.805740,2.754616,2.802458,393.687414,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,63,2594795838027,2594798592015,2594802500272,2594806398473,2594819316835,2594822119851,2594822150861,2595189476908,10.560446,2.753988,2.823130,2.796312,367.326047,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,64,2596338191483,2596340689921,2596344816084,2596348490512,2596361328627,2596364175294,2596364219574,2596744862643,10.299029,2.498438,3.032446,2.568838,380.643069,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,65,2597885633609,2597888341362,2597892261562,2597896161718,2597909157116,2597911965580,2597912052393,2598304760928,10.528109,2.707753,2.802178,2.795823,392.708535,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,66,2599444048830,2599446829986,2599450655481,2599454618983,2599467584838,2599470313474,2599470362712,2599855186013,10.570153,2.781156,2.721721,2.856724,384.823301,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,67,2600999815125,2601002570580,2601006446361,2601010338486,2601023281433,2601026063986,2601026108894,2601439477939,10.523361,2.755455,2.756921,2.760344,413.369045,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,68,2602590876801,2602593623735,2602597539187,2602601515051,2602614335985,2602617144520,2602617177135,2603011301164,10.638250,2.746934,2.811328,2.862382,394.124029,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,69,2604148528935,2604151297240,2604155179447,2604159146372,2604172034424,2604174848406,2604174883816,2604582237847,10.617437,2.768305,2.795683,2.880611,407.354031,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,70,2605727585891,2605730421524,2605734199108,2605738189150,2605751177216,2605754025350,2605754073052,2606153294611,10.603259,2.835633,2.684845,2.900655,399.221559,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,71,2607297144294,2607299994315,2607303899010,2607307810062,2607320692108,2607323767227,2607323821005,2607708246589,10.665768,2.850021,2.797150,2.831093,384.425584,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,72,2608857376023,2608860183370,2608864109857,2608868064280,2608880868104,2608883664975,2608883695007,2609308800450,10.688257,2.807347,2.835214,2.846528,425.105443,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,73,2610444720369,2610447418764,2610451380660,2610455345350,2610468098539,2610470914966,2610470943112,2610865371050,10.624981,2.698395,2.866433,2.869506,394.427938,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,74,2612005888789,2612008733641,2612012565422,2612016539541,2612029492407,2612032258338,2612032309812,2612425825349,10.650752,2.844852,2.718089,2.871462,393.515537,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
