strategy,fleet_size,time_to_80pct_h,time_to_95pct_h,time_to_full_h,exposure_vehicle_days
ota_only,1000,359.700000,430.716667,456.116667,9535.43125
hotpatch_first,1000,16.450000,430.716667,456.116667,2965.1430555555557
