strategy,fleet_size,time_to_first_protection_min,time_to_50pct_protection_min,time_to_80pct_protection_min,time_to_95pct_protection_min,time_to_full_protection_min,cumulative_exposure_vehicle_min,cumulative_exposure_vehicle_hours,cumulative_exposure_vehicle_days,expected_attack_attempts,expected_successful_attack_opportunities,response_unavailable_vehicle_min,total_unavailable_vehicle_min,scheduled_actions
ota_only,1000,1310,13030,21582,25843,27367,13731021,228850.35,9535.43125,476.7715625,369.021189375,45000,45000,1000
hotpatch_first,1000,341,618,987,25843,27367,4269806,71163.43333333333,2965.1430555555557,148.2571527777778,114.75103625000003,9300,47550,1850
