time_min,time_hour,strategy,vulnerable_vehicle_count
6780,113.000,ota_only,777
6810,113.500,ota_only,777
6840,114.000,ota_only,777
6870,114.500,ota_only,777
6900,115.000,ota_only,777
6930,115.500,ota_only,777
6960,116.000,ota_only,777
6990,116.500,ota_only,777
7020,117.000,ota_only,777
7050,117.500,ota_only,777
7080,118.000,ota_only,775
7110,118.500,ota_only,768
7140,119.000,ota_only,761
7170,119.500,ota_only,747
7200,120.000,ota_only,735
7230,120.500,ota_only,729
7260,121.000,ota_only,723
7290,121.500,ota_only,723
7320,122.000,ota_only,723
7350,122.500,ota_only,723
7380,123.000,ota_only,723
7410,123.500,ota_only,723
7440,124.000,ota_only,723
7470,124.500,ota_only,723
7500,125.000,ota_only,723
7530,125.500,ota_only,723
7560,126.000,ota_only,723
7590,126.500,ota_only,723
7620,127.000,ota_only,723
7650,127.500,ota_only,723
7680,128.000,ota_only,723
7710,128.500,ota_only,723
7740,129.000,ota_only,723
7770,129.500,ota_only,723
7800,130.000,ota_only,723
7830,130.500,ota_only,723
7860,131.000,ota_only,723
7890,131.500,ota_only,723
7920,132.000,ota_only,723
7950,132.500,ota_only,723
7980,133.000,ota_only,723
8010,133.500,ota_only,723
8040,134.000,ota_only,723
8070,134.500,ota_only,723
8100,135.000,ota_only,723
8130,135.500,ota_only,723
8160,136.000,ota_only,723
8190,136.500,ota_only,723
8220,137.000,ota_only,723
8250,137.500,ota_only,723
8280,138.000,ota_only,723
8310,138.500,ota_only,723
8340,139.000,ota_only,723
8370,139.500,ota_only,723
8400,140.000,ota_only,723
8430,140.500,ota_only,723
8460,141.000,ota_only,723
8490,141.500,ota_only,723
8520,142.000,ota_only,714
8550,142.500,ota_only,709
8580,143.000,ota_only,702
8610,143.500,ota_only,695
8640,144.000,ota_only,682
8670,144.500,ota_only,667
8700,145.000,ota_only,666
8730,145.500,ota_only,665
8760,146.000,ota_only,665
8790,146.500,ota_only,665
8820,147.000,ota_only,665
8850,147.500,ota_only,665
8880,148.000,ota_only,665
8910,148.500,ota_only,665
8940,149.000,ota_only,665
8970,149.500,ota_only,665
9000,150.000,ota_only,665
9030,150.500,ota_only,665
9060,151.000,ota_only,665
9090,151.500,ota_only,665
9120,152.000,ota_only,665
9150,152.500,ota_only,665
9180,153.000,ota_only,665
9210,153.500,ota_only,665
9240,154.000,ota_only,665
9270,154.500,ota_only,665
9300,155.000,ota_only,665
9330,155.500,ota_only,665
9360,156.000,ota_only,665
9390,156.500,ota_only,665
9420,157.000,ota_only,665
9450,157.500,ota_only,665
9480,158.000,ota_only,665
9510,158.500,ota_only,665
9540,159.000,ota_only,665
9570,159.500,ota_only,665
9600,160.000,ota_only,665
9630,160.500,ota_only,665
9660,161.000,ota_only,665
9690,161.500,ota_only,665
9720,162.000,ota_only,665
9750,162.500,ota_only,665
9780,163.000,ota_only,665
9810,163.500,ota_only,665
9840,164.000,ota_only,665
9870,164.500,ota_only,665
9900,165.000,ota_only,665
9930,165.500,ota_only,665
9960,166.000,ota_only,662
9990,166.500,ota_only,657
10020,167.000,ota_only,648
10050,167.500,ota_only,640
10080,168.000,ota_only,627
10110,168.500,ota_only,617
10140,169.000,ota_only,616
10170,169.500,ota_only,616
10200,170.000,ota_only,616
10230,170.500,ota_only,616
10260,171.000,ota_only,616
10290,171.500,ota_only,616
10320,172.000,ota_only,616
10350,172.500,ota_only,616
10380,173.000,ota_only,616
10410,173.500,ota_only,616
10440,174.000,ota_only,616
10470,174.500,ota_only,616
10500,175.000,ota_only,616
10530,175.500,ota_only,616
10560,176.000,ota_only,616
10590,176.500,ota_only,616
10620,177.000,ota_only,616
10650,177.500,ota_only,616
10680,178.000,ota_only,616
10710,178.500,ota_only,616
10740,179.000,ota_only,616
10770,179.500,ota_only,616
10800,180.000,ota_only,616
10830,180.500,ota_only,616
