source_line,timestamp_us,can_id_hex,dlc,data_hex,uds_payload_hex
1,35815060,0x7E0,8,072E12345A86F2F2,2E12345A86F2F2
2,35819136,0x7E8,8,037F2E3100000000,7F2E31
3,35838912,0x7E0,8,042E1234A8000000,2E1234A8
4,35843001,0x7E8,8,037F2E3100000000,7F2E31
5,35863387,0x7E0,8,042E123440000000,2E123440
6,35867478,0x7E8,8,037F2E3100000000,7F2E31
7,35887757,0x7E0,8,072E1234E69EAFDF,2E1234E69EAFDF
8,35891833,0x7E8,8,037F2E3100000000,7F2E31
9,35912117,0x7E0,8,052E1234C7D30000,2E1234C7D3
10,35916204,0x7E8,8,037F2E3100000000,7F2E31
11,35936587,0x7E0,8,062E12349FD47400,2E12349FD474
12,35940670,0x7E8,8,037F2E3100000000,7F2E31
13,35961048,0x7E0,8,052E123485420000,2E12348542
14,35965132,0x7E8,8,037F2E3100000000,7F2E31
15,35985296,0x7E0,8,052E1234ED5E0000,2E1234ED5E
16,35989383,0x7E8,8,037F2E3100000000,7F2E31
17,36009837,0x7E0,8,062E1234CEE76500,2E1234CEE765
18,36013917,0x7E8,8,037F2E3100000000,7F2E31
19,36034174,0x7E0,8,042E1234A7000000,2E1234A7
20,36038265,0x7E8,8,037F2E3100000000,7F2E31
21,36058541,0x7E0,8,042E1234EA000000,2E1234EA
22,36062631,0x7E8,8,037F2E3100000000,7F2E31
23,36082922,0x7E0,8,062E123442DC7300,2E123442DC73
24,36087002,0x7E8,8,037F2E3100000000,7F2E31
25,36107406,0x7E0,8,042E12342F000000,2E12342F
26,36111496,0x7E8,8,037F2E3100000000,7F2E31
27,36131700,0x7E0,8,072E123467D46FDE,2E123467D46FDE
28,36135779,0x7E8,8,037F2E3100000000,7F2E31
29,36156080,0x7E0,8,032E123400000000,2E1234
30,36160175,0x7E8,8,037F2E3100000000,7F2E31
31,36180598,0x7E0,8,052E123472030000,2E12347203
32,36184689,0x7E8,8,037F2E3100000000,7F2E31
33,36205349,0x7E0,8,032E123400000000,2E1234
34,36209443,0x7E8,8,037F2E3100000000,7F2E31
35,36229202,0x7E0,8,062E1234B12E3400,2E1234B12E34
36,36233285,0x7E8,8,037F2E3100000000,7F2E31
37,36253590,0x7E0,8,072E12347569F44D,2E12347569F44D
38,36257669,0x7E8,8,037F2E3100000000,7F2E31
39,36278053,0x7E0,8,062E1234CF255800,2E1234CF2558
40,36282133,0x7E8,8,037F2E3100000000,7F2E31
41,36302624,0x7E0,8,062E123425926C00,2E123425926C
42,36306706,0x7E8,8,037F2E3100000000,7F2E31
43,36326792,0x7E0,8,072E1234926C98AD,2E1234926C98AD
44,36330868,0x7E8,8,037F2E3100000000,7F2E31
45,36351243,0x7E0,8,062E333364B3EA00,2E333364B3EA
46,36355326,0x7E8,8,037F2E3100000000,7F2E31
47,36375614,0x7E0,8,042E1234E3000000,2E1234E3
48,36379704,0x7E8,8,037F2E3100000000,7F2E31
49,36400049,0x7E0,8,052E1234C9520000,2E1234C952
50,36404133,0x7E8,8,037F2E3100000000,7F2E31
51,36424404,0x7E0,8,052E123485EF0000,2E123485EF
52,36428491,0x7E8,8,037F2E3100000000,7F2E31
53,36448793,0x7E0,8,072E12341B6CA233,2E12341B6CA233
54,36452869,0x7E8,8,037F2E3100000000,7F2E31
55,36473340,0x7E0,8,042E1234D3000000,2E1234D3
56,36477430,0x7E8,8,037F2E3100000000,7F2E31
57,36497572,0x7E0,8,042E12349C000000,2E12349C
58,36501662,0x7E8,8,037F2E3100000000,7F2E31
59,36522037,0x7E0,8,062E123434FB5000,2E123434FB50
60,36526117,0x7E8,8,037F2E3100000000,7F2E31
61,36546349,0x7E0,8,072E12340834D02B,2E12340834D02B
62,36550431,0x7E8,8,037F2E3100000000,7F2E31
63,36570789,0x7E0,8,072E1234915FDBE7,2E1234915FDBE7
64,36574866,0x7E8,8,037F2E3100000000,7F2E31
65,36595117,0x7E0,8,042E100176000000,2E100176
66,36599212,0x7E8,8,037F2E3100000000,7F2E31
67,36619517,0x7E0,8,042E100175000000,2E100175
68,36623612,0x7E8,8,037F2E3100000000,7F2E31
69,36643919,0x7E0,8,062E1234E7C2AC00,2E1234E7C2AC
70,36648000,0x7E8,8,037F2E3100000000,7F2E31
71,36668353,0x7E0,8,072E123404FF9FF8,2E123404FF9FF8
72,36672435,0x7E8,8,037F2E3100000000,7F2E31
73,36692656,0x7E0,8,072E123441F1CED2,2E123441F1CED2
74,36696737,0x7E8,8,037F2E3100000000,7F2E31
75,36717286,0x7E0,8,062E1234D68BD000,2E1234D68BD0
76,36721368,0x7E8,8,037F2E3100000000,7F2E31
77,36741516,0x7E0,8,052E123470B20000,2E123470B2
78,36745602,0x7E8,8,037F2E3100000000,7F2E31
79,36765825,0x7E0,8,072E12344228B4D6,2E12344228B4D6
80,36769901,0x7E8,8,037F2E3100000000,7F2E31
81,36790254,0x7E0,8,072E123440FF64D7,2E123440FF64D7
82,36794332,0x7E8,8,037F2E3100000000,7F2E31
83,36814716,0x7E0,8,072E1234398727C3,2E1234398727C3
84,36818795,0x7E8,8,037F2E3100000000,7F2E31
85,36839007,0x7E0,8,072E12349D081440,2E12349D081440
