run_id,trial,patch_state,warmup,step,request_payload,response_payload,send_monotonic_ns,recv_monotonic_ns,latency_ms,response_class,nrc,timeout
real_can_latency_20260716_final_firmware,1,before,true,session_reset,1001,500100321388,542855147377180,542855290817093,143.439913,positive,,false
real_can_latency_20260716_final_firmware,1,before,true,enter_extended_session,1003,500300321388,542855317050897,542855320088536,3.037639,positive,,false
real_can_latency_20260716_final_firmware,1,before,true,request_security_seed,2701,67011201,542855346273382,542855349419902,3.146520,positive,,false
real_can_latency_20260716_final_firmware,1,before,true,send_security_key,2702B75B,6702,542855375638412,542855378708107,3.069695,positive,,false
real_can_latency_20260716_final_firmware,1,before,true,read_target_before,221234,621234,542855404931296,542855408044991,3.113695,positive,,false
real_can_latency_20260716_final_firmware,1,before,true,write_target,2E12340001,6E1234,542855434260637,542855437349679,3.089042,positive,,false
real_can_latency_20260716_final_firmware,1,before,true,read_target_after,221234,6212340001,542855463568188,542855466614557,3.046369,positive,,false
real_can_latency_20260716_final_firmware,2,before,true,session_reset,1001,500100321388,542855492937338,542855495945434,3.008096,positive,,false
real_can_latency_20260716_final_firmware,2,before,true,enter_extended_session,1003,500300321388,542855522185385,542855525198021,3.012636,positive,,false
real_can_latency_20260716_final_firmware,2,before,true,request_security_seed,2701,67011202,542855551409057,542855554458988,3.049931,positive,,false
real_can_latency_20260716_final_firmware,2,before,true,send_security_key,2702B758,6702,542855580686856,542855583785605,3.098749,positive,,false
real_can_latency_20260716_final_firmware,2,before,true,read_target_before,221234,6212340001,542855610033937,542855613061728,3.027791,positive,,false
real_can_latency_20260716_final_firmware,2,before,true,write_target,2E12340002,6E1234,542855639301259,542855642413558,3.112299,positive,,false
real_can_latency_20260716_final_firmware,2,before,true,read_target_after,221234,6212340002,542855668615096,542855671747368,3.132272,positive,,false
real_can_latency_20260716_final_firmware,3,before,true,session_reset,1001,500100321388,542855698390927,542855700994018,2.603091,positive,,false
real_can_latency_20260716_final_firmware,3,before,true,enter_extended_session,1003,500300321388,542855727212877,542855730356534,3.143657,positive,,false
real_can_latency_20260716_final_firmware,3,before,true,request_security_seed,2701,67011203,542855756567361,542855759593266,3.025905,positive,,false
real_can_latency_20260716_final_firmware,3,before,true,send_security_key,2702B759,6702,542855785794455,542855788858494,3.064039,positive,,false
real_can_latency_20260716_final_firmware,3,before,true,read_target_before,221234,6212340002,542855815136787,542855818165695,3.028908,positive,,false
real_can_latency_20260716_final_firmware,3,before,true,write_target,2E12340003,6E1234,542855844390630,542855847469475,3.078845,positive,,false
real_can_latency_20260716_final_firmware,3,before,true,read_target_after,221234,6212340003,542855873713895,542855877032292,3.318397,positive,,false
real_can_latency_20260716_final_firmware,4,before,true,session_reset,1001,500100321388,542855903402844,542855906211197,2.808353,positive,,false
real_can_latency_20260716_final_firmware,4,before,true,enter_extended_session,1003,500300321388,542855932441300,542855935436476,2.995176,positive,,false
real_can_latency_20260716_final_firmware,4,before,true,request_security_seed,2701,67011204,542855961677614,542855964626416,2.948802,positive,,false
real_can_latency_20260716_final_firmware,4,before,true,send_security_key,2702B75E,6702,542855991062757,542855993982366,2.919609,positive,,false
real_can_latency_20260716_final_firmware,4,before,true,read_target_before,221234,6212340003,542856020249344,542856023309122,3.059778,positive,,false
real_can_latency_20260716_final_firmware,4,before,true,write_target,2E12340004,6E1234,542856049561225,542856052779401,3.218176,positive,,false
real_can_latency_20260716_final_firmware,4,before,true,read_target_after,221234,6212340004,542856079207152,542856081901526,2.694374,positive,,false
real_can_latency_20260716_final_firmware,5,before,true,session_reset,1001,500100321388,542856108436622,542856111124500,2.687878,positive,,false
real_can_latency_20260716_final_firmware,5,before,true,enter_extended_session,1003,500300321388,542856137385751,542856140436450,3.050699,positive,,false
