trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
40,read_target_after,3.011519,2.848369,-0.163150
40,read_target_before,3.018083,2.918419,-0.099664
40,request_security_seed,2.862688,2.866319,0.003631
40,send_security_key,3.299959,3.265666,-0.034293
40,session_reset,2.679218,2.711692,0.032474
40,write_target,2.832657,3.007746,0.175089
41,enter_extended_session,3.211262,2.765050,-0.446212
41,read_target_after,3.220481,2.992800,-0.227681
41,read_target_before,2.780835,2.917022,0.136187
41,request_security_seed,3.064946,3.109084,0.044138
41,send_security_key,2.869044,2.860452,-0.008592
41,session_reset,2.968567,3.256378,0.287811
41,write_target,3.057962,3.307779,0.249817
42,enter_extended_session,2.972338,2.858078,-0.114260
42,read_target_after,2.745566,2.844598,0.099032
42,read_target_before,3.285502,2.837056,-0.448446
42,request_security_seed,2.917374,3.388096,0.470722
42,send_security_key,2.880358,2.943772,0.063414
42,session_reset,2.808632,2.774968,-0.033664
42,write_target,2.674119,3.073396,0.399277
43,enter_extended_session,2.938046,3.038685,0.100639
43,read_target_after,3.181300,2.852141,-0.329159
43,read_target_before,3.099937,3.024158,-0.075779
43,request_security_seed,3.134577,2.848300,-0.286277
43,send_security_key,2.829514,2.868205,0.038691
43,session_reset,2.981836,3.131293,0.149457
43,write_target,3.057054,3.257355,0.200301
44,enter_extended_session,2.929596,2.863315,-0.066281
44,read_target_after,2.821064,2.943283,0.122219
44,read_target_before,3.155180,2.925544,-0.229636
44,request_security_seed,3.107410,3.059777,-0.047633
44,send_security_key,2.835800,3.139814,0.304014
44,session_reset,2.504966,2.912274,0.407308
44,write_target,2.774061,3.065504,0.291443
45,enter_extended_session,3.321121,3.114531,-0.206590
45,read_target_after,3.025207,2.838941,-0.186266
45,read_target_before,3.217128,3.226835,0.009707
45,request_security_seed,2.839152,2.735159,-0.103993
45,send_security_key,2.799971,2.708270,-0.091701
45,session_reset,2.876237,3.028348,0.152111
45,write_target,3.072768,3.102379,0.029611
46,enter_extended_session,2.861152,2.862897,0.001745
46,read_target_after,2.735929,3.322935,0.587006
46,read_target_before,2.861221,2.999364,0.138143
46,request_security_seed,3.329572,3.262384,-0.067188
46,send_security_key,2.996084,2.984559,-0.011525
46,session_reset,2.749477,2.736695,-0.012782
46,write_target,2.612800,2.882871,0.270071
47,enter_extended_session,3.035893,3.065294,0.029401
47,read_target_after,2.914789,2.871627,-0.043162
47,read_target_before,3.512833,3.029116,-0.483717
47,request_security_seed,2.773991,3.051187,0.277196
47,send_security_key,2.696468,2.843970,0.147502
47,session_reset,3.129409,2.716232,-0.413177
47,write_target,2.779299,3.311481,0.532182
48,enter_extended_session,3.122704,3.236054,0.113350
48,read_target_after,3.108038,3.208048,0.100010
48,read_target_before,2.905570,2.798923,-0.106647
48,request_security_seed,3.264970,3.116696,-0.148274
48,send_security_key,2.856264,2.768543,-0.087721
48,session_reset,2.850327,2.726010,-0.124317
48,write_target,2.823089,2.917930,0.094841
49,enter_extended_session,3.096375,2.845646,-0.250729
49,read_target_after,2.810378,3.138487,0.328109
49,read_target_before,2.977366,3.254980,0.277614
49,request_security_seed,2.843622,2.793405,-0.050217
49,send_security_key,3.075492,3.014311,-0.061181
49,session_reset,2.759813,2.959067,0.199254
49,write_target,3.048953,2.786631,-0.262322
50,enter_extended_session,3.020249,3.243666,0.223417
50,read_target_after,2.973805,2.830072,-0.143733
50,read_target_before,2.545962,3.009143,0.463181
50,request_security_seed,3.060546,3.069205,0.008659
50,send_security_key,3.138628,2.837475,-0.301153
50,session_reset,2.704780,2.625579,-0.079201
