vehicle_id,hotpatch_capable,ota_only_protected_min,hotpatch_first_protected_min,exposure_reduction_min,ota_only_ota_finished_min,hotpatch_first_ota_finished_min
vehicle-0215,true,5716,448,5268,5716,5716
vehicle-0216,true,5768,524,5244,5768,5768
vehicle-0217,true,7192,415,6777,7192,7192
vehicle-0218,true,5727,903,4824,5727,5727
vehicle-0219,true,7096,754,6342,7096,7096
vehicle-0220,true,7157,777,6380,7157,7157
vehicle-0221,true,5737,472,5265,5737,5737
vehicle-0222,true,5744,941,4803,5744,5744
vehicle-0223,true,7199,445,6754,7199,7199
vehicle-0224,true,7148,969,6179,7148,7148
vehicle-0225,true,7206,527,6679,7206,7206
vehicle-0226,true,7140,496,6644,7140,7140
vehicle-0227,true,7191,689,6502,7191,7191
vehicle-0228,true,5746,469,5277,5746,5746
vehicle-0229,true,5755,437,5318,5755,5755
vehicle-0230,true,5759,956,4803,5759,5759
vehicle-0231,true,5761,702,5059,5761,5761
vehicle-0232,true,5772,511,5261,5772,5772
vehicle-0233,true,7168,851,6317,7168,7168
vehicle-0234,true,7113,666,6447,7113,7113
vehicle-0235,true,7119,463,6656,7119,7119
vehicle-0236,true,7114,447,6667,7114,7114
vehicle-0237,true,5777,479,5298,5777,5777
vehicle-0238,true,7104,467,6637,7104,7104
vehicle-0239,true,5782,431,5351,5782,5782
vehicle-0240,true,5789,670,5119,5789,5789
vehicle-0241,true,5791,475,5316,5791,5791
vehicle-0242,true,7136,706,6430,7136,7136
vehicle-0243,true,5800,763,5037,5800,5800
vehicle-0244,true,7204,868,6336,7204,7204
vehicle-0245,true,7067,506,6561,7067,7067
vehicle-0246,true,7078,675,6403,7078,7078
vehicle-0247,true,7180,1038,6142,7180,7180
vehicle-0248,true,7095,421,6674,7095,7095
vehicle-0249,true,7138,437,6701,7138,7138
