strategy,fleet_size,time_to_first_protection_min,time_to_50pct_protection_min,time_to_80pct_protection_min,time_to_95pct_protection_min,time_to_full_protection_min,cumulative_exposure_vehicle_min,cumulative_exposure_vehicle_hours,cumulative_exposure_vehicle_days,expected_attack_attempts,expected_successful_attack_opportunities,response_unavailable_vehicle_min,total_unavailable_vehicle_min,scheduled_actions
ota_only,1000,1318,12978,21575,25867,27362,13657145,227619.08333333334,9484.128472222223,474.2064236111112,367.50997829861114,45000,45000,1000
hotpatch_first,1000,354,642,1013,25867,27362,4277545,71292.41666666667,2970.5173611111113,148.52586805555558,115.10754774305558,9300,47550,1850
