metric,vulnerable_profile,kintsugi_runtime,delta_or_status,evidence
Firmware Flash (text + data),53904 B,58886 B,+4982 B,arm-none-eabi-size
Static RAM (data + bss),34416 B,34438 B,+22 B,arm-none-eabi-size
Reserved hotpatch RAM window,2080 B,2080 B,linker reservation,MAP: RAM origin to __ramfunc_end
Hotpatch slot metadata,0 B active section,214 B,10 configured slots,MAP: __hotpatch_slots_size
Quarantine buffer,80 B,80 B,static capacity,MAP: __hotpatch_quarantine_size
Code allocator pool,linked reserve,728 B,640 B configured payload capacity,ELF symbol hp_code_memory; 10 x 64 B payload
Peak active/quarantine usage,n/a,not instrumented,unavailable,no runtime high-water telemetry
Task stack high-water mark,not captured,not captured,unavailable,API enabled; no recorded result
CPU utilisation / task jitter,not instrumented,not instrumented,unavailable,20260710 activation telemetry status
